product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,review_title,review_content,estimated_demand,revenue_score,profit_margin_given,profit,main_category,sub_category,sentiment
Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13 1211 X 8 7 6 5 iPad Air Pro Mini (3 FT Pack of 1 Grey),Computers&AccessoriesAccessories&PeripheralsCables&AccessoriesCablesUSBCables,399.0,1099.0,64.0,4.2,24269.0,High Compatibility  Compatible With iPhone 12 11 XXsMaxXr iPhone 88 PlusiPhone 77 PlusiPhone 6s6s PlusiPhone 66 PlusiPhone 55s5cseiPad ProiPad Air 12iPad mini 123iPod nano7iPod touch and more apple devices.Fast Charge&Data Sync  It can charge and sync simultaneously at a rapid speed Compatible with any charging adaptor multiport charging station or power bank.Durability  Durable nylon braided design with premium aluminum housing and toughened nylon fiber wound tightly around the cord lending it superior durability and adding a bit to its flexibility.High Security Level  It is designed to fully protect your device from damaging excessive current.Copper core thickMultilayer shielding Antiinterference Protective circuit equipment.WARRANTY 12 months warranty and friendly customer services ensures the longtime enjoyment of your purchase. If you meet any question or problem please don't hesitate to contact us.,SatisfiedCharging is really fastValue for moneyProduct reviewGood qualityGood productGood ProductAs of now seems good,Looks durable Charging is fine tooNo complainsCharging is really fast good product.Till now satisfied with the quality.This is a good product . The charging speed is slower than the original iPhone cableGood quality would recommendhttpsm.mediaamazon.comimagesWWEBP_402378T1imagesI81F1ZgHL._SY88.jpgProduct had worked well till date and was having no issue.Cable is also sturdy enough...Have asked for replacement and company is doing the same...Value for money,101929.8,40669990.2,700.0,6100498.53,Computers,AccessoriesAccessories,0.48194444444444445
Ambrane Unbreakable 60W  3A Fast Charging 1.5m Braided Type C Cable for Smartphones Tablets Laptops & other Type C devices PD Technology 480Mbps Data Sync Quick Charge 3.0 (RCT15A Black),Computers&AccessoriesAccessories&PeripheralsCables&AccessoriesCablesUSBCables,199.0,349.0,43.0,4.0,43994.0,Compatible with all Type C enabled devices be it an android smartphone (Mi Samsung Oppo Vivo Realme OnePlus etc) tablet laptop (Macbook Chromebook etc)Supports Quick Charging (2.03.0)Unbreakable – Made of special braided outer with rugged interior bindings it is ultradurable cable that won’t be affected by daily rough usageIdeal Length – It has ideal length of 1.5 meters which is neither too short like your typical 1meter cable or too long like a 2meters cableSupports maximum 3A fast charging and 480 Mbps data transfer speed6 months manufacturer warranty from the date of purchase,A Good Braided Cable for Your Type C DeviceGood quality product from ambraneSuper cableAsGood qualityGood productits goodGood quality for the price but one issue with my unit,I ordered this cable to connect my phone to Android Auto of car. The cable is really strong and the connection ports are really well made. I already has a Micro USB cable from Ambrane and it's still in good shape. I connected my phone to the car using the cable and it got connected well and no issues. I also connected it to the charging port and yes it has Fast Charging support.It quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast chargingValue for money with extra length👍Good working fineProduct quality is goodGoodvery goodBought for my daughter's old phone.Brand new cable it was not charging I already repacked and requested for replacement.I checked again and there was some green colour pastefungus inside the micro USB connector. I cleaned with an alcoholic and starts working again.Checked the ampere of charging speed got around 1400ma1500ma  not bad came with braided 1.5m long cable pretty impressive for the price.Can't blame the manufacturer.But quality issues by the distributor they might have stored in very humid place.,175976.0,35019224.0,150.0,5252883.6,Computers,AccessoriesAccessories,0.2743181818181818
Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13 1211 X 8 7 6 5 iPad Air Pro Mini & iOS Devices,Computers&AccessoriesAccessories&PeripheralsCables&AccessoriesCablesUSBCables,199.0,1899.0,90.0,3.9,7928.0,【 Fast Charger& Data Sync】With builtin safety proctections and fourcore copper wires promote maximum signal quality and strength and enhance charging & data transfer speed with up to 480 mbs transferring speed.【 Compatibility】Compatible with iPhone 13 1211 X 8 7 6 5 iPad Air Pro Mini & iOS devices.【 Sturdy & Durable】The jacket and enforced connector made of TPE and premium copper are resistant to repeatedly bending and coiling.【 Ultra High Quality】 According to the experimental results the fishbone design can accept at least 20000 bending and insertion tests for extra protection and durability. Upgraded 3D aluminum connector and exclusive laser welding technology which to ensure the metal part won't break and also have a tighter connection which fits well even with a protective case on and will never loose connection.【 Good After Sales Service】Our friendly and reliable customer service will respond to you within 24 hours ! you can purchase with confidenceand every sale includes a 365day worryfree Service to prove the importance we set on quality.,Good speed for earlier versionsGood ProductWorking goodGood for the priceGoodWorth for moneyWorking niceit's a really nice product,Not quite durable and sturdyhttpsm.mediaamazon.comimagesWWEBP_402378T1imagesI71rIggrbUCL._SY88.jpgWorking goodhttpsm.mediaamazon.comimagesWWEBP_402378T1imagesI61bKp9YO6wL._SY88.jpgProductVery nice productWorking wellIt's a really nice product,30919.2,6152920.8,1700.0,922938.12,Computers,AccessoriesAccessories,0.6
boAt Deuce USB 300 2 in 1 TypeC & Micro USB Stress Resistant TangleFree Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission 10000 Bends Lifespan and Extended 1.5m Length(Martian Red),Computers&AccessoriesAccessories&PeripheralsCables&AccessoriesCablesUSBCables,329.0,699.0,53.0,4.2,94363.0,The boAt Deuce USB 300 2 in 1 cable is compatible with smartphones tablets PC peripherals Bluetooth speakers power banks and all other devices with TypeC as well as Micro USB portIt ensures 3A fast charging and data transmissions with rapid sync at 480 mbpsThe premium Nylon braided skin makes it sturdy and invincible against external damageIts Aluminium alloy shell housing makes it last longer with 10000 Bends Lifespan with extended frame protection for strain reliefThe resilient and flexible design offers a tangle free experience seamlesslyDeuce USB 300 cable offers a perfect 1.5 meters in length for smooth & hasslefree user experience2 years warranty from the date of purchase,Good productGood oneNiceReally nice productVery first time changeGoodFine product but could be betterVery nice it's charging like jet,Good productlong wireCharges goodNiceI bought this cable for Rs.339 worthy product for this price i tested it in various charger adapters 33w and 18w it supports fast charging as well.GoodOkI had got this at good price on sale on Amazon and product is useful with warranty but for warranty you need to go very far not practical for such a cost and mine micro to type c connector stopped working after few days only.I like this product,396324.60000000003,130390793.4,370.0,19558619.01,Computers,AccessoriesAccessories,0.2403703703703703
Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone iPad (Grey),Computers&AccessoriesAccessories&PeripheralsCables&AccessoriesCablesUSBCables,154.0,399.0,61.0,4.2,16905.0,CHARGE & SYNC FUNCTION This cable comes with charging & Data sync functionHIGH QUALITY MATERIAL TPE  Nylon Material to make sure that the life of the cable is enhanced significantlyLONG CORD The Cable is extra thick 1.2 meter long optimized for an easy use for your comfort at home or officeMORE DURABLEThis cable is unique interms of design and multiuse and is positioned to provide the best comfort and performance while usingUNIVERSAL COMPATIBILITY Compatible with all devices like iPhone XS X XR 8 7 6S 6 5S iPad Pro iPad mini and iPad Air,As good as originalDecentGood one for secondary useBest qualityGOODAmazing product at a mind blowing price!Nice QualityGood product,Bought this instead of original apple does the work for 150rs not as fast as apple charger but its a good option if you want cheap and good product bought it for iPad pro 10.5 and it's working flawlessly build quality is ok its not like i am gonna hang my clothes on it and i want a very strong cable even a braided cable stop working after a year i have used both Anker and Apple store strong braided cable they all stop working after a year so please don't buy high end cables just for that instead choose a this one and even if it's stops working withing a year you only loose 150rs compares to 2000rs.UPDATEpin has stopped charging from one side now i have to slip the pin to charge from other side but i will update and let know for how long does it workIt’s good. Not sure about durability as the pin area feels a bit fragileDoes not support apple carplaySo was little disappointed about thatOther than that cable is made up of very good qualityBest to buy100% NOT FATHFULWriting this review post 10 months and 3 orders of the same product.Honestly Portronics Konnect L lightning cable works like magic with the original Apple charging brick.Seeing the price of the cable I initially hesitated buying as it was as low as ₹99 with the offers and so I wasn’t sure if it would work well with my iPhone 12 or whether it would impact my iPhone’s battery health because all the other lightning cable brands were costing over ₹350 like Wayona Amazon Basics etc.Earlier I was using Wayona Brand lightning cable with eventually frayed and stopped working.Charging SpeedCharges my iPhone fast enough almost similar compared to the original cable level when used with 12W Original Apple power adapter.Quality and DurabilityGreat quality braided cable and doesn’t tangle easily and can withstand daytoday usage.LShaped pinThis is very innovative by Portronics and it makes sure the cable doesn’t get damaged even if used while charging.CarPlay and Data SyncWorks smoothly with CarPlay and syncs data effortlessly.PS I have used this cable only with the Original Apple Charging Brick and extremely satisfied with its performance.Better than I expect the product I like that Quality and I plan to buy same type cable come with usb C to Lighting cable for emergency purpose that much I love this cable. Buy for this cable only emergency uses only since Good oneGood product and value for money,71001.0,10934154.0,245.0,1640123.0999999999,Computers,AccessoriesAccessories,0.2627403846153846
pTron Solero TB301 3A TypeC Data and Fast Charging Cable Made in India 480Mbps Data Sync Strong and Durable 1.5Meter Nylon Braided USB Cable for TypeC Devices for Charging Adapter (Black),Computers&AccessoriesAccessories&PeripheralsCables&AccessoriesCablesUSBCables,149.0,1000.0,85.0,3.9,24871.0,Fast Charging & Data Sync Solero TB301 TypeC cable supports fast charge up to 5V3A for devices and data syncing speed up to 480Mbps.Universal Compatibility This USB charging cable connects USB TypeC devices with standard USB devices like laptops hard drives power banks wall and car chargers etc..Connector One Reversible Type CConnector Two USB A TypeRough & Tough TypeC Cable Charging cable with a doublebraided exterior premium aramid fiber core and metal plugs. It has passed 10000 bending tests and can easily withstand daily use.Extended Length 1.5meter long ctype cable uses nylon material to protect the wire and avoid knots.Perfect Fit Connectors pTron Soler USBC has passed the 5KG load test swing test 5000 times connect & disconnect to ensure that there are no loose connections.,It's pretty goodAverage qualityvery good and useful usb cableGood USB cable. My experience was very good it is long lastingGoodNice product and usefulSturdy but does not support 33w charging,It's a good product.LikeVery good item strong and useful USB cableValue for moneyThanks to amazon and producerhttpsm.mediaamazon.comimagesI51112ZRE1L._SY88.jpgGoodNice product and useful productSturdy but does not support 33w charging,96996.9,14452538.1,851.0,2167880.715,Computers,AccessoriesAccessories,0.48666666666666664
boAt Micro USB 55 Tanglefree Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black),Computers&AccessoriesAccessories&PeripheralsCables&AccessoriesCablesUSBCables,176.63,499.0,65.0,4.1,15188.0,It Ensures High Speed Transmission And Charging By Offering 3A Fast Charging And Data Transmissions With Rapid Sync At 480 MbpsThe Braided Skin Makes It Durable And Invincible Against External Damage So You Can Have An Absolute HassleFree & Tangle Free ExperienceIts Durable Pvc Housing And The Flexible Design Makes It Last 6 Times Longer Than Other CablesUsb Cable Offers A Perfect 1.5 Meters In Length For Smooth & HassleFree User Experience For Superior Charging & Data Transfer TasksThe Compact And Smooth Aluminium Connector Fits Most Cases Seamlessly And Resists Corrosion For Signal PurityMicro Usb 55 Cable Offers Universal Compatibility As It Is Compatible With Most Android Smartphones Tablets Pc Peripherals Bluetooth Speakers Power Banks Game Consoles & All MicroUsb Enabled Devices2 years warranty from the date of purchase,Long durable.goodDoes not charge Lenovo m8 tabBest charging cablegoodBoatProduct was good1.5 m का केबल मेरे लिए बहुत ही लाभदायक है ।,Build quality is good and it is comes with 2 year warranty.Good ProductBought it for charging my mobile & tab but it doesn't work for Lenovo m8 tabGuys this cable is is best compare of everyone over heat protection quickly charging but chance to shock circuitgoodNiceGood quality1.5एम का डाटा केबल मेरे लिए बहुत ही लाभदायक है ।  मैं इस केबल को लाइन में चार्ज करते समय फोन बहुत आराम से उपयोग  कर पा रहा हु । आप इस केबल से 15watt का  चार्जर उसे कर सकते है (इससे जड़ा नही) । लोकल बाजार में इसका दाम 150 है   अमेजन पे ये केबल मुझे 67 में मिला । गर्व से कहो हम हिंदू है  जय हिंद जय भारत ,62270.799999999996,10998891.404,322.37,1649833.7105999999,Computers,AccessoriesAccessories,0.6777777777777777
MI Usb TypeC Cable Smartphone (Black),Computers&AccessoriesAccessories&PeripheralsCables&AccessoriesCablesUSBCables,229.0,299.0,23.0,4.3,30411.0,1m long TypeC USB CableSturdy and Durable. With USB cable you can transfer data with speeds of upto 480 MbpsUpto 3A output6months warrantySturdy and Durable. With USB cable you can transfer data with speeds of upto 480 Mbps6months warrantyUp To 3A Output,Worth for money  suitable for Android autoGood ProductLengthNiceOriginalVery good quay Cable support fast charging.Original MI cable for charging upto 33 wattI am veri happy with this product as it provide turbo charging.,Worth for money  suitable for Android auto... my purpose served in car....got it for Rs.150Everything is Okay. But packaging is not good feeling like seller gave is used cable.Good productGood product but cost is more.Original cableI bought this cable at 129. Using this cable for Android auto in my car. Perfectly works without any glitch.Original MI cable. Will charge upto 33 watts. Got it for Rs 150.  I have 67 watt charger and I want a cable for my car so I went for it. I checked the performance with battery charging app. The charging speed is exactly half of my 67 watt original cable. Go for it.It provided me turbo charging. I recommend for all Redmi note 10s mobile phones. As it provide turbo charging. I am veri happy with this product.,130767.29999999999,29945711.699999996,70.0,4491856.754999999,Computers,AccessoriesAccessories,0.3760416666666666
TPLink USB WiFi Adapter for PC(TLWN725N) N150 Wireless Network Adapter for Desktop  Nano Size WiFi Dongle Compatible with Windows 1110788.1XP Mac OS 10.910.15 Linux Kernel 2.6.184.4.3,Computers&AccessoriesNetworkingDevicesNetworkAdaptersWirelessUSBAdapters,499.0,999.0,50.0,4.2,179691.0,USB WiFi Adapter —— Speedy wireless transmission at up to 150Mbps ideal for video streaming or internet callsMini Design —— Sleek miniature design so small that once plugged in can be left in a Laptop’s USB portAdvanced Security —— Supports 64128 WEP WPA PA2WPAPSKWPA2PSK(TKIPAES)Compatibility —— Windows 11108.187XP Mac OS 10.15 and earlier LinuxEasy Setup —— Connect in no time with easy setup utility in 14 languagesIn an unlikely case of product quality related issue we may ask you to reach out to brand’s customer service support and seek resolution. We will require brand proof of issue to process replacement request,Works on linux for me. Get the model with antenna.Does what it say but other brands available at lesser priceEasy HandleGreat productPerfect workingSpeed is perfectGreat Design Build Connectivity Range Packaging and other features but no linux support since v2Very good,I use this to connect an old PC to internet. I tried lubuntu 20 and ubuntu 22 it worked out of the box in both didn't have to do any setup. There's an extender cable so you can place this in a comfortable place. Get the model with antenna because otherwise you'll have range problems if you're not directly in line of sight from your wifi router.The wifi dongle is a simple plug & play device will start catching available networks right after you plug it into your USB port no additional installations softwares requires. Signal strength is good.... just wonder what would be different in other adapters of lesser known brands which are available at a much more competitive pricing hence a star less.Pros*Easy to use & Portable*Can be connected to Mobile Hotspot and used in PC( Budget Friendly)*Less installation process*No heating issues & Good Coverage*Best alternative for USB Tethering (phone's battery may get damaged for long term run with Tethering)Cons*Internet connection speed varies at times also depends on your modem or cellular connection*Issues occur while installing via CD which is available along with the product( Installation driver can be downloaded from TPLink site)*Needed to reconnect the adapter every time system is turned ON*Will not work if your software has some issues so encountered any just update your system(worked for me)*Support Center is worse calls are unattended most of the times or just visit nearby storeConclusionBrought this @499Ideal for users who don't need very high speed internet usagea good alternative for USB Tethering and are on Budge(1080p Youtube videos can be easily played with this without any interruptions)wifi connectivity is a great good result for me. however some jitter problems did exist.This is perfect device to connect wifi. Go for it.This wifi adopter is good working(Pictures attached)SizeDesign  ★ ★ ★ ★ ★Build Quality ★ ★ ★ ★ ★Packaging  ★ ★ ★ ★ ★Software  ★ ★ ★ ★Speed  ★ ★ ★ ★ ★Connectivity  ★ ★ ★ ★ ★Experience  ★ ★ ★ ★ ★Warranty  ★ ★ ★ ★ ★Size and DesignThe best part about this is that it is very compact in size and very sober and elegant in design. This is a big plus as it is easy plug in and use add to it the good sober design.Build QualityThe build quality is undoubtedly superb. Just no qualms about that at all. When held it doesnt give off that cheap and flimsy productlike feeling. It is good sturdy with its build quality.PackagingThis part is also a big plus as the item was well cushioned and packaged with all the necessary items that ensured that no damage could have been caused to the product during transportation. This ensures that I as a customer have received something not damaged internally already.SoftwareThis is actually good but not great part with the product.The good part is that a CD has been provided with it along with a manual.The not great part is that NO LINUX SUPPORT has been given from Version 2 onwards. This is bad really.SpeedIt easily supports net speeds upto 300 Mbps. Practically speaking I have tested it at my home and it easily supports net speed of over 100150 Mbps without a sigh.On testing I found that it did connect to 5GHz network without any issue.ConnectivityPlease mark its not feet its metres. Multiply metres x 3 to get the distance in feet.It easily connects to my laptop or phone from 7 metres across one room. So thats 21 feet. I mean even our old bluetooth used to connect to about 15 ft.So 2025 feet is not at all an issue with this. This is the big plus I found with the product.ExperienceFrom this point of view so far except the linux noncompatibility issue I found no other flaws with this product.So overall its a great product.WarrantyIts 3 years so I am assured that atleast for 3 years I am tensionfree and not just 1 year contrary to most electronic items today that only provide 1 year warranty with their items.Best adapter I have bought ever. Works nicely seemless connectivity,754702.2000000001,376596397.8,500.0,56489459.67,Computers,AccessoriesNetworkingDevicesNetworkAdaptersWirelessUSBAdapters,0.2789406713505074
Ambrane Unbreakable 60W  3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones Tablets Laptops & Other Micro USB Devices 480Mbps Data Sync Quick Charge 3.0 (RCM15 Black),Computers&AccessoriesAccessories&PeripheralsCables&AccessoriesCablesUSBCables,199.0,299.0,33.0,4.0,43994.0,Universal Compatibility – It is compatible with all Micro USB enabled devices be it an android smartphone tablet PC peripheral or any other micro USB compatible deviceUnbreakable – Made of special braided outer with rugged interior bindings it is ultradurable cable that won’t be affected by daily rough usageIdeal Length – It has ideal length of 1.5 meters which is neither too short like your typical 1meter cable or too long like a 2meters cableSupports maximum 3A fast charging and 480 Mbps data transfer speed6 Months manufacturer warranty from the date of purchase.,A Good Braided Cable for Your Type C DeviceGood quality product from ambraneSuper cableAsGood qualityGood productits goodGood quality for the price but one issue with my unit,I ordered this cable to connect my phone to Android Auto of car. The cable is really strong and the connection ports are really well made. I already has a Micro USB cable from Ambrane and it's still in good shape. I connected my phone to the car using the cable and it got connected well and no issues. I also connected it to the charging port and yes it has Fast Charging support.It quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast chargingValue for money with extra length👍Good working fineProduct quality is goodGoodvery goodBought for my daughter's old phone.Brand new cable it was not charging I already repacked and requested for replacement.I checked again and there was some green colour pastefungus inside the micro USB connector. I cleaned with an alcoholic and starts working again.Checked the ampere of charging speed got around 1400ma1500ma  not bad came with braided 1.5m long cable pretty impressive for the price.Can't blame the manufacturer.But quality issues by the distributor they might have stored in very humid place.,175976.0,35019224.0,100.0,5252883.6,Computers,AccessoriesAccessories,0.2743181818181818
Portronics Konnect L POR1081 Fast Charging 3A TypeC Cable 1.2Meter with Charge & Sync Function for All TypeC Devices (Grey),Computers&AccessoriesAccessories&PeripheralsCables&AccessoriesCablesUSBCables,154.0,339.0,55.0,4.3,13391.0,CHARGE & SYNC FUNCTION This cable comes with charging & Data sync function for smartphonesHIGH QUALITY MATERIAL TPE  Nylon Material to make sure that the life of the cable is enhanced significantlyLONG CORD The Cable is extra thick 1.2 meter long optimized for an easy use for your comfort at home or officeMORE DURABLEThis cable is unique interms of design and multiuse and is positioned to provide the best comfort and performance while using,Good for fast charge but not for data transferGood cable compares to local the brand.good but doesnt lastGood productGood ProductGood and worth itvery good material quality charging speed is 15 wattNot a fast charger,The cable is efficient in fast charging but in quick data transfer. Overall fine.I like the usb c  L shape. Nylon Shielded core wire it improves the life of the cable.i think i buy these every 6 months or so. fast charging stops working after a while. probbly something to do with the cable design. the cable gets twisted over time and I suspect that breaks the high capacity wires inside. but i keep buying it because there arent too many options in an L shaped designGood and durable product. Sometime the charges doesn't work on few adapters. there might be few cut off or something but works fine on apple adapter Car charger USBThe product is really good at affordable price.Good and fast charging and value for moneyபொருள் உடைய கடினத்தன்மையின் நன்றாக உள்ளது சார்ஜ் ஏறும் வேகம் 15watNot a fast charger.  Very slow charging with 65w.  Lshape pin is very useful.,57581.299999999996,8867520.2,185.0,1330128.0299999998,Computers,AccessoriesAccessories,0.13399999999999998
